Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
FXAIX,Fidelity 500 Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VGT,Vanguard Information Technology Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VIG,Vanguard Dividend Appreciation Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VOO,Vanguard 500 Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VTI,Vanguard Total Stock Market Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VFAIX,Vanguard Financials Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
VEA,Vanguard Developed Markets Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
GLD,SPDR Gold Shares,N/A,N/A,N/A,N/A,N/A,N/A
VNQ,Vanguard Real Estate Index Fund,N/A,N/A,N/A,N/A,N/A,N/A
MUB,iShares National Muni Bond ETF,N/A,N/A,N/A,N/A,N/A,N/A
ADT,ADT Inc.,Industrials,Security & Protection Services,Boca Raton,N/A,N/A,N/A
